"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","Memo: ODA Total, Gross disbursements","","Flow Type(s):","Disbursements","","Amount:","Constant Prices (2020 USD millions)","","Time Period:","2020","",

"","Recipient(s)","All Developing Countries, Total","North of Sahara, Total","South of Sahara, Total","Caribbean & Central America, Total","South America, Total","Middle East, Total","South & Central Asia, Total","Far East Asia, Total","Europe, Total","Oceania, Total","LDCs, Total","Other LICs, Total","LMICs, Total","UMICs, Total","Land-Locked countries, Total","Small island states, Total","Fragile states, Total","Afghanistan","Albania","Algeria","Angola","Antigua and Barbuda","Argentina","Armenia","Azerbaijan","Bangladesh","Belarus","Belize","Benin","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Burkina Faso","Burundi","Cabo Verde","Cambodia","Cameroon","Central African Republic","Chad","China (People's Republic of)","Colombia","Comoros","Congo","Costa Rica","Cote d'Ivoire","Cuba","Democratic People's Republic of Korea","Democratic Republic of the Congo","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Eswatini","Ethiopia","Fiji","Gabon","Gambia","Georgia","Ghana","Grenada","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","India","Indonesia","Iran","Iraq","Jamaica","Jordan","Kazakhstan","Kenya","Kiribati","Kosovo","Kyrgyzstan","Lao People's Democratic Republic","Lebanon","Lesotho","Liberia","Libya","Madagascar","Malawi","Malaysia","Maldives","Mali","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia","Moldova","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Nicaragua","Niger","Nigeria","Niue","North Macedonia","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Rwanda","Saint Helena","Saint Lucia","Saint Vincent and the Grenadines","Samoa","Sao Tome and Principe","Senegal","Serbia","Sierra Leone","Solomon Islands","Somalia","South Africa","South Sudan","Sri Lanka","Sudan","Suriname","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tokelau","Tonga","Tunisia","TÃ¼rkiye","Turkmenistan","Tuvalu","Uganda","Ukraine","Uzbekistan","Vanuatu","Venezuela","Viet Nam","Wallis and Futuna","West Bank and Gaza Strip","Yemen","Zambia","Zimbabwe",
"Donor(s)",
"DAC Countries, Total","","128893.56","3993.15","30306.16","3537.17","4658.45","11115.78","15645.52","10051.69","3786.26","1892.45","31411.9","591.53","31345.24","15961.1","16389.21","3264.96","42307.59","2368.76","204.38","180","84.88","1.89","56.7","113.92","214.06","3340.7","140.49","8.35","366.9","33.09","197.67","244.83","74.28","564.64","722.64","201.26","41.61","740.92","593.2","321.94","276.55","1175.82","1937.15","34.53","97.93","208.42","687.67","111.18","15.95","1589.55","97.76","4.76","395.85","290.69","1022.28","355.6","4.64","13.48","73.17","2370.29","122.91","61.93","41.04","719.67","586.05","3.33","312.77","151.86","34.1","20.7","452.97","216.25","3738.42","3257.87","174.96","2145.76","41.98","2363.03","57.71","1626.84","47.62","160.8","141.62","321.21","1123.83","86.98","302.35","220.44","341.38","648.36","59.46","65.62","768.38","122.37","107.77","380.67","770.9","134.76","101.04","486.66","36.1","43.83","1428.14","1208.43","1923.32","167.33","19.63","525.35","131.03","699.61","1719.14","20.75","82.01","876.76","41.66","34.54","532.18","206.69","587.83","1925.11","571.95","58.85","4.47","1.61","57","18.41","859.32","345.37","228.28","125.75","2015.64","1104.91","1437.68","459.58","807.46","7.09","2436.66","116.26","1299.76","344.09","191.15","98.43","16.29","58.07","920.63","1198.72","9.09","17.44","1292.54","778.9","677.69","92.13","233.71","1388.66","107","817.24","1608.93","615.17","575.58"
"Non-DAC Countries, Total","","14586.23","849.14","1772.34","415.36","86.06","8814.29","636.88","314.3","349.04","9.22","2389.25","70.02","9298.28","1151.74","714.87","498.76","10252.56","73.03","93.03","6.34","1.4","1.27","20.96","30.36","14.42","44.12","9.54","4.49","4.79","1.95","0.25","41.88","1.13","4.07","8.74","9.23","2.9","8.59","7.42","12.06","10.9","98.62","20.42","16.07","3.42","4.32","17.25","375.49","67.46","5.98","18.84","1.13","1.15","0.55","662.59","1.44","0.05","4.8","0.15","31.02","0.59","0.36","29.98","8.17","13.18","0.36","0.82","32.86","1.84","0.89","0.42","1.76","39.69","28.99","19.04","58.89","0.7","269.12","45.71","18.82","..","7.68","83.1","39.47","65.81","0.29","4.2","5.17","14.97","13.97","9.58","58.32","22.2","3.12","60.93","20.15","4.38","0.01","64.11","12","3.69","0.29","86.65","12.27","4.57","1.75","0.12","9.58","13.56","16.13","12.39","0.11","8.85","74.41","3.16","0.38","0.16","7.88","6.03","10.75","21.97","0.03","0.32","3.06","0.15","0.17","23.89","39.65","15.57","0.14","117.31","3.01","9.21","30.67","1063.9","0.49","7170.09","52.25","22.13","7.15","0.08","11.63","..","1.31","85.38","39.08","9","0.15","17.84","28.85","55.43","0.17","24.3","28.29","..","376","540","30.05","2.56"
"Australia","","2318.95","0.09","51.9","0.67","1.82","69.54","232.81","434.65","4.82","786.45","472.94","1.05","767.61","179.1","94.84","736.42","861.02","44.27","0.02","0.02","0.01","0.01","0.04","..","..","79.65","..","..","..","3.44","0.01","0.01","0.68","0.1","..","0.41","0.02","39.05","0.18","..","..","0.46","0.03","0.01","..","0.01","0.05","0.01","..","..","0.03","..","0.01","0.02","0.05","0.01","..","..","0.35","1.88","48.11","..","0.18","..","1.27","..","0.01","..","0.02","0.03","..","0.01","2.29","183.54","0.08","22.27","0.02","6.23","..","2.93","18.86","0.12","0.03","16.85","3.7","0.25","0.18","..","0.27","1.26","1.89","0.88","0.02","2.08","..","0.47","0.57","3.58","..","5.24","0","..","0.01","1.72","62.53","0.25","13.45","10.06","0.01","0.12","1.12","2.03","0.02","9.47","3.99","0.01","363.52","0.02","0.07","47.4","0.74","..","..","..","24.95","0.01","0","0.01","0.08","87.03","3.11","20.2","5.34","13.21","0.02","..","15.89","0.02","1.74","5.85","83.46","..","0.29","22.16","..","4.56","..","7.58","1.72","0.07","..","54.15","..","43.46","0","13.07","..","1.08","1.05"
"Austria","","568.21","8.86","69.08","25.63","8.85","45.08","42.97","18.21","132.09","0.78","56.59","0.33","112.82","143.87","62.77","16.58","106.08","3.37","10.52","0.28","0.03","..","0.3","2.85","5.11","1.46","1.34","0.01","0.02","1.29","0.25","20.52","0.01","2.39","7.5","0.09","1.05","0.04","0.78","0.03","0.01","5.73","2.52","..","0.03","0.17","0.01","14.76","0.03","0.32","0.06","..","0.04","0.35","4.74","0.6","..","0.02","0.06","11.88","0.01","0.09","0.12","6.83","3.82","0.01","5.2","..","0","..","..","0.08","9.75","2.71","11.21","1.79","..","1.99","2.94","1.53","..","10.61","0.56","0.94","4.25","0.22","0.02","2.6","0.05","0.04","0.14","..","0.13","..","..","0.04","3.46","..","4.57","3.38","1.2","..","0.63","10.82","0.06","0.03","..","1.29","0.56","0.01","1.37","..","1.79","1.98","..","0.06","0.23","0.27","1.16","0.64","0.19","..","0.02","0.03","..","..","0.63","17.17","0.08","..","0.16","0.72","0.23","1.35","0.2","..","17.76","0.13","1.32","0.58","..","0.07","..","..","0.46","28.54","0.2","..","12.47","16.39","0.53","0.38","1.51","3.4","..","5.6","1.3","0.12","0.3"
"Belgium","","1175.95","15.24","433.63","20.67","29.75","74.12","5.06","20.81","13.8","..","415.76","0.72","104.94","77.8","216.97","12.36","407.7","..","0.21","1","1.45","..","0.31","0.34","..","1.46","0.04","..","20.1","..","7.64","0.16","..","1.98","41.08","28.02","0.16","4.43","2.1","0.23","..","0.6","2.18","..","0.28","0.34","0.26","5.11","..","104.46","..","..","0.39","8.04","1.73","2.44","..","..","..","3.72","..","0.11","0.03","0.01","0.47","..","2.28","9.55","..","..","6.33","1.07","2.26","3.32","0.21","11.07","..","1.17","0.01","8.79","..","0","..","..","12.75","..","..","0.09","5.62","5.75","..","..","17.13","..","0.76","..","0.07","..","0","..","0","..","11.83","12.46","0.29","..","..","0.09","2.22","24.77","7.45","..","..","0.13","..","0.41","..","0.68","7.81","4.37","59.33","..","..","..","..","..","13.09","0.34","..","..","..","14.45","2.28","0.17","..","0.37","12.74","..","12.41","0","..","0.71","..","..","0.6","9.05","..","..","23.5","3.9","0.29","..","..","6.1","..","20.8","15.33","1.36","0.72"
"Canada","","3917.17","17.22","904.11","188.74","141.83","421.53","249.53","73.52","71.08","35.43","949.82","5.5","507.93","266.65","439.82","77.73","1242.07","86.01","0.33","1.09","0.26","0.52","1.06","0.07","0.34","68.65","0.26","1.38","21.04","0.15","12.08","0.21","0.48","1.76","36.57","4.33","0.43","3.09","14.08","9.46","9.67","1.84","39.21","0.42","0.79","0.38","13.34","2.31","0.93","68.52","1.11","1.83","0.44","4.57","3.56","3.5","0.18","0.04","0.57","73","0.63","0.41","1.43","0.22","49.23","0.86","11.15","3.99","1.02","2.21","57.13","19.67","6.2","12.09","0.17","71.21","2.37","56.62","0.31","34.06","0.17","0.16","0.99","1.07","74.84","0.41","2.5","2.39","3","9.31","0.6","0.15","60.85","0.32","0.51","0.35","9.38","0.09","0.29","5.38","0.29","0.23","4.43","51.79","35.6","0.38","0.09","4.08","6.65","15.79","40.06","..","0.29","24.62","0.09","0.6","0.09","0.2","21.01","10.67","8.64","..","0.84","0.92","0.17","0.36","51.66","0.06","5.5","0.45","23.25","8.77","73.19","7.2","19.75","0.7","74.93","1.69","67.62","1.18","0.19","3.62","..","0.17","4.98","0.23","0.05","0.17","14.67","36.23","0.28","0.64","5.98","11.33","..","39.58","44.73","5.05","4.57"
"Czech Republic","","72.7","1.1","12.31","0.44","0.65","12.22","7.1","3.15","22.09","..","17.63","0.04","19.05","19.69","19.09","0.37","25.77","1.43","0.53","..","..","..","..","0.48","0.07","0.22","1.17","0.01","..","..","0","4.79","..","0.08","0.48","..","0.07","2.06","0.13","..","..","0.21","0.17","..","..","0","..","0.28","..","..","..","..","..","0.01","..","0.03","..","..","..","5.29","..","..","..","3.33","0.09","..","..","0.01","..","..","..","0.02","0.09","0.14","0.01","4.31","..","2.17","..","0.02","..","0.23","0.01","0.05","1.49","..","..","0.43","..","0.02","..","..","1.85","..","..","..","0.03","..","5.15","0.26","0.02","..","..","..","1.16","0.12","..","..","0.05","0.65","0.04","..","0.14","..","..","0.01","..","..","0.28","0.19","..","..","..","..","..","..","0.13","1.56","..","..","..","..","..","0.01","0.23","..","2.67","0.05","0.08","0.03","..","..","..","..","0.02","3.83","..","..","0.02","3.08","0.07","..","0.1","0.21","..","0.44","0.91","3.03","0.04"
"Denmark","","1718.5","6.45","512.37","2.43","2.8","170.92","103.95","8.6","31.82","0.04","487.67","7.48","186.2","44","320.31","0.07","644.16","50.41","2.32","0.54","0.28","..","0.22","0.07","..","15.43","0.06","..","0.41","..","0.86","0.11","..","0.27","28.56","0.35","..","2.43","1.41","2.81","0.93","1.29","0.72","..","0.13","..","..","..","0.1","1.55","0.02","..","..","..","1.47","..","..","0.18","..","53.96","..","..","..","1.84","7.75","..","0.62","0.54","..","..","0.03","0.1","3.08","2.49","2.95","18.01","..","8.7","..","62.86","..","..","..","0.5","13.16","..","0.87","0.97","..","2.81","0.05","..","49.08","..","0.02","..","0.19","..","0.03","..","..","..","0.1","6.19","24.97","..","..","3.19","0.1","26.45","2.58","..","..","4.3","..","..","..","..","0.16","0.72","5.05","..","..","..","..","..","0.09","..","1.33","..","54.59","1.37","17.39","0.03","9.06","..","46.5","..","45.49","0.07","..","0.39","..","..","3.38","0.97","..","..","68.54","17.06","..","0.04","0.57","0.95","..","19.04","11.85","1.94","7.38"
"Finland","","656.94","4.18","151.93","2.67","3.44","50.47","84.25","9.33","18.17","..","210.23","1.03","63.91","26.38","102.27","1.68","234.54","27.93","0.41","0.13","..","..","0.08","0.03","0.02","0.87","0.15","..","..","0.17","0.2","0.27","0.18","0.19","0.84","1.3","..","1.65","0.08","0.61","..","0.43","1.44","..","..","..","..","..","..","5.31","0.01","..","0.1","0","0.25","..","..","..","0.03","25.84","..","..","0.36","1.36","0.97","..","0.17","..","..","..","0.07","1.13","1.85","0.92","0.04","3.38","..","0.32","..","11.98","..","0.93","0.73","1.13","6.34","..","0.17","0.66","0.21","1","..","..","0.69","..","0.21","1.51","0.21","..","0.54","0.23","..","..","0.3","19.36","27.34","0.49","..","20.6","0.25","1.76","0.2","..","0.01","0","..","..","..","..","0.41","0.63","0.17","..","..","..","..","..","0.43","..","0.34","..","28.8","3.98","5.69","0.46","3.47","..","16.39","0.91","15.71","0.16","..","..","..","..","0.35","5.2","0.02","..","6.78","7.54","1.14","..","0.57","4.19","..","9.84","8.69","2.71","1.03"
"France","","13088.71","1232.83","3926.63","854.64","1001.7","429.6","1145.79","1138.17","348.29","128.57","2192.79","4.8","4257.8","2981.91","1269.22","767.28","3063.65","7.41","5.79","127.22","10.84","0.05","11.9","24.74","118.62","32.18","1.67","0.02","68.75","0.02","24.93","2.25","0.22","92.38","164.21","8.07","4.56","100.35","163.18","37.03","74.63","195.69","270.18","27.01","71.5","151.02","312.68","21.28","0.77","41.61","41.42","0.34","311.45","142.44","247.38","20.69","2.12","0.4","0.25","83.27","0.55","55.41","1.11","221.27","67.47","0.01","3.1","59.49","0.95","0.18","33.66","2.28","422.58","326.4","13.56","24.32","0.61","137.45","3.76","241.65","0","2.6","0.67","12.25","103.62","0.27","4.54","10.89","84.77","0.26","5.01","0.1","127.78","..","41.24","358.95","306.1","..","2.29","45.76","0.71","..","587.85","19.2","10.42","17.65","..","1.73","1.05","105.76","203.83","..","1.66","51.73","..","1.07","0.02","43.01","92.4","291.94","51.73","..","1.4","0.02","..","0.82","327.02","10.72","0.15","0","448.32","48.82","5.38","18.79","12.66","0.89","69.26","0.12","17.03","9.08","0.29","32.35","..","0.05","226.08","299.8","0.38","..","86.63","16.13","231.29","4.07","9.55","146.07","107","66.16","8.73","1.08","4.03"
"Germany","","25878.79","1387.29","4293.23","423.61","1318.56","2835.92","2613.8","2181.37","1360.24","12.57","3549.93","38.62","6691.32","4193.69","2111.28","45.4","5515.45","373.13","92.59","16.94","4.33","0","23.24","35.78","38.1","170.67","52.93","0.08","65.38","1.57","32.54","80.05","1.3","158.42","93.44","34.29","0.97","35.64","119.3","49.61","39.92","774.99","714.54","0.01","0.58","12.84","81.08","2.53","1.89","176.73","0.43","0.12","7.17","34.41","173.95","9.46","0.02","3.84","0.33","447.44","1.85","0.65","2.8","356.92","92.39","0.42","23.81","11.61","0.4","0.47","10.26","27.12","1189.76","997.15","104.76","407.29","0.28","449.66","21.02","104.7","..","44.45","24.66","28.24","294.11","1.23","31.74","46.64","35.72","97.17","14.62","0.54","108.55","1.96","25.09","2.8","101.4","..","11.95","24.87","24.56","..","617.63","97.61","74.93","57.41","..","57.49","10.9","142.95","123.61","..","15.4","114.06","0.08","1.04","3.11","4.77","209.48","37.46","59.88","..","0.03","0","0.03","0","171.38","113.71","30.29","0.44","204.59","175.27","155.22","22.4","179.72","0.08","890.45","19.09","51.54","35.38","9.31","41.94","0.01","0.16","372.87","534.89","1.75","..","60.84","207.37","34.82","..","10.58","210.93","..","225.18","305.35","57.2","36.72"
"Greece","","84.78","0.01","0.04","0","0.04","0.25","0.04","..","4.01","..","0.11","..","0.23","4.05","0.04","..","0.36","0.03","0","..","..","..","..","..","..","0","..","..","..","..","..","0","..","..","..","..","..","..","0","..","..","..","0","..","..","..","..","..","..","..","..","..","..","..","0.01","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..","0","..","..","0","0","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","0.03","..","0.21","..","..","..","..","..","..","..","0","4","..","..","..","0","0","..","0.03","..","..","..","0.03","0",".."
"Hungary","","225.93","9.91","12.34","2.46","5.06","37.45","23.65","30.88","80.59","0.03","14.41","0.05","90.33","97.58","32.49","0.19","47.38","0.02","1.33","1.14","0.62","..","0.22","0.04","4.57","1.14","0.06","..","0","0","0","0.97","0","3.39","0","0","0.13","0.35","0.02","0","0.02","5.27","0.58","..","0.01","0","0","0","..","0.23","..","0.01","0","0.83","2.55","0","..","0.06","0","0.86","0.03","0","0.02","1.12","1.36","..","0","0","..","0","..","0","3.79","2.05","2.42","6.08","0","10.11","4.43","3.39","..","1.19","2.5","7.87","3.99","..","0","0.02","0.01","0","0.31","..","0.02","..","0","0.01","2.43","..","0.85","8.37","0.97","..","2.52","0.01","0.21","0.05","..","0.01","0","0","1.94","..","0.77","4.78","..","0.01","..","0.01","0.01","0.35","0.01","..","..","..","..","..","0","49.39","0","..","0","1.58","0.01","0.08","0.34","..","9.85","0.04","0.47","0.36","..","0","..","..","3.68","5.9","0.41","..","1.11","19.14","0.5","..","0.01","5.96","..","4","1","0","0.05"
"Iceland","","46.13","..","17.83","0.31","..","3.27","0.86","0.12","0.39","..","18.69","..","2.87","0.76","14.49","..","13.35","0.85","0.11","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","0.19","..","..","..","0.01","..","..","..","..","..","..","..","..","..","..","0.24","..","..","..","..","..","0.31","..","..","..","0.23","..","..","..","..","0.01","..","..","..","..","..","..","..","..","..","..","0.07","..","0.16","0.01","0.12","..","..","..","..","0.3","..","0.32","..","..","7.54","..","..","0.15","..","..","..","..","..","..","..","..","..","..","1.35","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.11","..","..","..","..","..","..","0.15","..","1.45","..","..","..","..","..","..","..","1.36","..","..","..","..","0.11","..","..","..","0.27","..","..","5.52","..","..","..","..","0.01","..","0.8","0.59","..",".."
"Ireland","","521.95","0.06","264.88","6.92","6.14","35.88","10.53","11.79","6.47","2.34","253.92","10.34","49.65","26.73","144.94","4.97","275.22","3.17","..","..","0.47","0.34","0.08","0.05","..","2.61","0.02","..","0.02","..","0.03","..","..","0.64","1.17","1.83","..","1.13","1.12","5.74","2.56","0.04","2.78","..","0.02","..","0.02","0","0.34","8.15","..","..","..","0.13","0.05","0.15","..","1.41","..","45.22","0.09","..","..","0.04","0.19","..","1.35","0.37","0.39","..","1.9","1.33","0.73","0.06","0.01","1.76","0","4.45","0.04","9.18","0.01","0.05","..","0.98","4.3","0.14","5.35","..","0.08","23.75","..","..","1.17","..","0.32","..","0.17","..","..","..","..","..","..","29.38","2.58","0.06","..","0.58","1.25","3.97","2.13","..","..","0.6","..","..","0.14","0.1","0.57","0.37","2.15","..","..","..","0","..","0.68","..","16.67","0","7.67","5.27","9.81","0.11","7","0","7.72","..","26.1","0.25","..","0.02","..","2.04","0.01","6.3","..","0.05","25.94","0.05","0.04","0","1.73","8.59","..","9.82","6.87","6.52","10"
"Italy","","1403.01","158.08","260.54","24.67","30.92","134.6","91.55","33.55","63.53","0.04","283.06","0.32","290.67","191.37","128.63","13.4","395.46","24.44","13.86","0.21","2.01","0.47","1.09","0.24","0.94","2.66","0.4","0.15","4.98","0.02","5.86","2.98","0.01","7.66","11.9","2.18","0.65","0.27","7.92","3.18","1.83","3.15","7.1","..","0.09","0.32","3.14","9.79","0.09","6.83","16.49","0.16","0.04","1.31","25.19","3.05","..","0.98","..","31.15","..","0.17","0.02","0.31","0.96","..","0.4","1.38","0.63","..","0.85","2.68","15.91","0.94","4.45","12.57","..","19.26","0.25","9.33","..","0.78","0.04","0.01","35.7","0.14","0.63","39.32","3.53","0.96","0.06","0.12","10.71","..","0.04","0.01","0.69","..","0.7","0.17","0.28","..","2.9","18.37","23.7","0.03","..","0.84","4.07","19.42","1.82","..","0.5","11.97","..","0.02","..","0.69","3.06","20.41","1.67","..","..","..","..","..","29.56","0.66","2.79","..","18.1","1.51","3.38","9.54","15.38","..","16.22","..","8.76","0.33","0.55","2.51","..","..","90.44","39.15","0.01","..","5.86","1.25","0.42","..","2.19","5.03","..","28.95","3.52","0.87","0.23"
