Donor,ODA as percent of GNI (log),Europe (%),South & Central Asia (%),concentration_score,Asia-Pacific (%),MENA (%),Sub-Saharan Africa (%),poor country focus (%),Fragile states (%),Education (%),"Health, Water, Sanitation (%)","Government, Society and Peace (%)","Transport, Communication and Energy (%)","Banking, Finance and Business (%)","Agriculture, Forestry, Fishing (%)",Multi-Sector / Cross-Cutting (%),Humanitarian Aid (%),Experts and other technical assistance (%),Project-type interventions (%),in-donor expenditures (%),Budget support and pooled funding (%),Multilateral Organisations (%),Public Sector (%),"NGOs, civil society and research institutions (%)",earmarked-to-core-ratio log,share of multilateral,"share of cpa, log"
Portugal,-0.8248485231562402,-0.6340044752321388,-1.2109122884207963,2.2483563338446992,0.7373391493288769,-1.4300313961701292,1.0987142419587537,0.7525293035554059,1.5896567969065338,0.820683479890989,-0.9574005121758414,-1.1975551743422486,0.08166536076046632,-0.8395147155635037,-1.9054763062374032,-1.0699417563495424,-1.302068875600687,-0.982298023724157,1.7358246894726623,0.0581469701189432,-1.3518399465856101,-1.1267915980007353,1.6047898550529514,-1.161577937082297,-1.078752508108348,0.014297790871320326,0.9360926746146189
Poland,-1.007822949697748,1.7113481394561445,-0.3093348919537137,-0.34007946496950114,-0.208258193924436,-1.0922731738317994,-1.073223362937292,-1.4211092362582107,-1.3391777691823854,2.8025479315341446,-0.9826586737445924,-0.07913686685759905,-0.48827065027870276,-0.8514261598156349,-0.35732707079418224,-1.2862913607309516,0.5214501134435359,-0.7132581563312845,-0.41712797175019717,1.8148939751599638,-1.201569647077465,-1.3869539718208455,0.24451538999626743,-0.7013637963602762,-1.1986236505642323,1.2301183544451448,-0.5785140758591443
Sweden,2.2924808831776593,-0.31543969315137615,0.15339949652156282,-0.34007946496950114,-0.5198406219859503,0.06149259518170837,0.7809345344641762,0.9244864753727869,0.8224053216763942,-0.6835900170791719,-0.15470517862143873,2.4795424122085095,-0.2484120315773388,0.3943301844467771,-0.42849750234954637,0.6914273827015084,0.4324599599977393,-0.20473185248466694,-0.44446113490831357,-0.710387492261743,1.6280044979584638,1.6149680560504993,-1.1917052880446177,0.7679529013879389,0.15983527553074764,0.6909950989348917,0.10405254433831772
Italy,-0.6523585838810373,-0.36666447760647947,0.007305247561112025,-1.3505459930680142,-0.42670983870380497,2.770188329059837,-0.11490556364198676,-0.23716234096506023,-0.11819924892725373,-0.29145545473085993,-0.3080656194974695,-0.8895615809731503,0.5559672358755509,-0.8096475905198491,1.2623420330944695,0.5887870614342032,0.03152207263588524,-0.5035210358094454,0.19793009081015298,0.1528588939631198,0.16514684736882235,0.6648001771758713,0.23697290659835407,-0.3483028492591595,-0.8070021195487542,1.553074485589407,0.23543319147441855
Austria,-0.3468498432464655,0.678643618173845,0.0915544143636283,-0.7320548009616006,-0.3700520812468349,0.12837321205845156,-0.649071301253135,-0.9966432533339206,-0.8430833850787463,1.0200509740564576,-1.1626258044735522,-0.9220670464066291,0.8574926785904547,0.9933751850515049,0.525679682719873,-0.5349149706652913,-0.32040311070428895,0.1618368049246063,-1.1050934044386636,0.6700461970198307,-0.29656038383733807,-0.0007733901186562532,-0.7569580058720448,1.0707668142457478,-0.633611437782876,0.8983421161364978,-1.4386943388862365
Greece,-0.8740901763741131,2.577049488703638,-1.1909286372379102,1.6298651417382855,-0.6272886414759838,-1.0369683536100898,-1.4178490510474437,-1.6261973767479652,-2.2326629054704097,-0.9550716543511294,-1.6786303213420384,-1.7956528688044031,-0.7144156702414666,-0.9191696771902217,-2.0936583574321643,-1.523410223781746,-0.9872300017605067,-1.2441702507976953,-2.2379681966679192,3.522414880964027,-1.4556895142396464,-1.653962865862815,2.223288548600689,-1.7364857101750384,-1.2489393016601409,1.2797441002891798,-2.3201205721270757
Slovenia,-0.8682245239702617,2.6304735019166277,-1.208485827368863,1.6298651417382855,-0.6232869106778832,-1.24463772152571,-1.3880031567981435,-1.6592078843073161,-2.088958746665823,2.740955793965621,-1.1019503233506946,-0.18460677751869597,-0.7047999886141939,-0.43767248513815954,-1.8722589238282936,-1.0862884296611228,-0.8680380671940133,0.35004494279503207,-1.8065443674863582,2.110589506210319,-0.9754680215674512,-1.1397219526166154,1.6186183001295231,-1.1464207701159441,-1.1380617738965837,0.8925590540635772,-1.163882773580938
Spain,-0.6128539744471376,-0.4331376143636764,-1.0054752707220926,-0.7320548009616006,-0.5669569179323268,0.4063078329712212,-0.6878487244904606,-0.9513065636418867,-0.11937893929902309,-0.555194019366212,-0.19869264377390145,0.6026057496876448,-0.6238625338993106,-0.16288455641112973,0.1112234068167988,0.6518439721748613,-0.18627344555973158,-0.39189777961423855,0.6868117616194653,0.23778365185696498,-0.9021232436033251,-0.6994136174145952,-0.8550512658157039,2.5520279134976223,-1.0682578624487542,0.976406930426638,-0.8954420018094343
Australia,-0.6928995712080308,-0.6371708722788936,0.37342735411781686,1.1501261024336484,3.0466655763709105,-1.2253895192641133,-1.320702757498905,-0.3844348975313939,0.5629518558154413,-0.5262484850174854,0.6302469679696455,0.7336005849895281,0.01977978483530773,-0.10787699970807246,0.03587648431106443,1.9956655715206604,-0.2868870607999035,1.8821909669992682,1.1686056735017012,-0.7349669592720409,-0.45441514532035054,0.6662376830142563,-1.008725539316084,-0.18076822963858552,1.5180289183100997,-0.8325142275542976,1.0381789280609415
Belgium,0.3452768932308507,-0.5684517778767,-1.2006585888457486,-0.34007946496950114,-0.4656482987620092,0.033387025014032845,1.446503383146725,1.069930522632048,0.3755960178546565,-0.3200750960918876,-0.08802894446858624,-0.8086356930575782,-0.23237314867306963,-0.2769984465586576,1.7709801560091285,1.3018427342479895,0.5200107997840335,-0.8295507280130703,-0.6281217741433842,-0.19429001955202044,1.0328224679326723,-0.5712766311660513,-0.34115436126699683,1.1813086656913945,-0.8204209313810245,0.178462459502677,-1.1545501977783217
Norway,2.2184777629186048,-0.484394573104831,0.1712868149542516,-0.7320548009616006,-0.3410715202315842,0.9531480309343139,0.4589650763701451,0.5476309235177992,0.00599062325526305,-0.2428035667118967,-0.09816122607676424,1.0736310892963816,-0.3253590734709079,1.222888224008929,-0.5977502312594928,2.1322451746431716,0.4000883270815907,-0.32771953833058637,-0.3882476841356932,-0.8682584738491597,1.4506644871559327,2.088512657188496,-1.3081301364134483,0.44605774371775553,1.5958725967801215,0.1891298394635571,-0.4426436307340838
Ireland,-0.31005848869530966,-0.5817134067812983,-0.9482010352940018,0.13965957433513543,-0.4322568950024839,-0.4810069576482211,1.694496319066383,1.394836262560779,1.7510715794947027,-0.4274722080496202,0.38208101401544703,0.4505320110320772,-0.669381054577798,-0.8282513700825187,0.08002602649722926,0.08233148287204495,1.5835217387468414,-0.7700167235388604,-0.29776085818198644,-0.5322399329389987,1.4487264742117427,0.5214950987912903,-0.721913460746921,1.263151251551193,-0.3851864771411223,0.37411404977391804,-0.3343130593503254
Czech Republic,-1.0881212401063283,0.6726076941602758,0.06872751336400239,-0.34007946496950114,-0.3733013760394765,1.020211685064409,-0.6001240477047903,-0.46648405029827694,0.43479092086597626,-0.13488702912053324,0.543476598792569,0.21159022838911573,-0.6437477476071856,-0.7765970904105856,0.5361843609407168,-0.7062320668970593,1.9381430386183065,-0.8889954364934239,1.270645011526679,-0.24370696742053452,-0.5025506484470474,0.11005164375291465,-1.099096514417797,1.3646491247904,-1.0438439884812554,1.701673475277988,0.6469761121221013
Japan,-0.28669109573435436,-0.6140469032593043,3.5224385838491377,1.1501261024336484,0.8377414326818265,-0.2514307870238895,-1.0772179522320409,-0.3728132484569091,0.485383315372144,-0.6985921769324935,-0.33171072881065355,-1.54609070902066,4.539708024147645,-0.834373904548731,0.003636808216106688,0.8329859425750761,-1.3033885562215481,-1.0732723447987396,1.7265247162378587,-0.8975257284701487,-0.2586075471242744,-0.8895405018446281,1.4819750946724952,-1.6167731470988762,0.135657103980092,-1.9870654034750492,1.6865036096568475
Germany,1.1867849939832147,-0.35556516286327755,0.5097947234705265,-1.0634652253854422,0.008733390360810136,1.410632047114613,-0.38298985947569586,-0.7292799795795044,-0.6417454002042409,-0.12145429348678534,-0.17182874828424569,0.3163711820043378,0.4222735035754631,1.365237341211952,-0.17953851113418093,0.8466058174424657,-0.6265591841155133,0.13429438825317977,0.23105256819949943,0.016215717532673663,-0.13299719789397588,0.16372693030874289,0.27293049189594315,-0.38916037017471933,0.8627841608442558,-1.176881253891628,0.20835349703882428
Iceland,-0.4603313036381212,-0.587478133912789,-0.8662130976814982,0.7581507664415493,-0.602203164831174,0.006063759183159239,1.7558635509924463,1.6426885814170824,-0.06081634682836334,-0.17795271922914224,1.849785803316448,-0.09956443941082085,-0.02036626310162731,-0.8179032328349582,0.9506075478026629,-0.9538018856581224,-0.46690714003885686,0.5144024786142366,-1.5952662284418604,0.06901122068838168,1.4846982999675384,0.7944057301127605,0.14461263755737014,-0.5193057545767338,1.9540753279870522,-0.2659252930699665,0.00219181128014758
Switzerland,0.39145401107426797,-0.22583409106520144,0.6289084414927059,-1.3505459930680142,-0.2738758989406625,-0.03366769413970069,0.003821252564408642,0.1325175382565406,-0.075788864425337,-0.598855313555844,-0.03640690103907387,0.8185782660847,-0.5060638698706881,0.3244517685676445,-0.07208693053652629,0.13243686477560657,1.1459593042378673,-0.5976636533593375,0.044969158058568826,-0.35831824327569756,0.6349220186517344,0.4578760481856269,-0.7321742449198126,0.9930189038391128,0.8195486546242846,-0.8647474819991662,-0.17128891149989747
United States,-0.900611849233599,-0.5586398254776962,-0.030108816686251847,-0.7320548009616006,-0.3849033411342661,0.4692841895799623,0.7354231852716531,0.3492468669293216,1.2391309051597328,-0.6680706596876312,1.7427556502996253,0.22222234665130366,-0.438090942145631,-0.5167104391871922,-0.8493001878466424,-0.9262287147275595,2.223677483476568,-0.741160541420789,1.1504018137849046,-0.723421073452834,0.08553637037683737,0.14720969110190918,-0.5740430588539119,-0.0740870051581996,1.550516677975154,-1.2941701499826186,0.17317272333490563
United Kingdom,1.0759110946068478,-0.5211215311076437,1.164627345506071,-0.7320548009616006,-0.44428986528325987,0.37647516736308767,0.5012238790351228,0.5356334754545502,0.1665274439017478,-0.5676339139631829,0.5713420445685746,-0.07025459977771276,-0.26260074037003583,1.0468859609157568,-0.8929514648476768,1.0622097201497065,0.5154850670667174,1.655907206506616,-0.0608059443368512,-0.6047251707874386,0.10564273252132025,0.4310425579246157,-0.6903945154089378,-0.1983683154054018,0.06539156838784364,-0.11977171795693686,-0.34785795095812705
Denmark,1.1422765476345245,-0.5140821254100305,0.10982236381947168,0.13965957433513543,-0.5782712770239464,0.8442818980811805,1.049035725174687,1.0200268698252017,0.5899228718856575,-0.5232241555236838,-0.724602592794756,1.3730091858638667,-0.20265558337638231,-0.38832859342136977,-0.44935409921155467,-0.6283338845114932,1.2853665771789542,-0.5659287353559886,-0.7366356801731394,-0.7688761629454187,2.040350820746608,1.7105295534760876,-0.8335312528406315,0.3931990550609809,0.6156240037125063,0.4097926664202302,-0.17827632978051292
Finland,0.3070993440604426,-0.4501953569012588,1.649874558378235,1.6298651417382855,-0.49034493375784927,0.31403391610345555,0.4659341603423523,1.0922384445755022,0.45420120811752746,-0.2574594482342679,-0.6432997973692484,0.6821465368362928,-0.4645285080775624,3.576372189480875,-0.0859634862793858,-0.6329339757488281,0.2342291731932661,-0.14642349630623477,-0.6405925668416461,-0.4652887020566437,0.6535823403310136,0.935018063516175,-0.9125945878590044,-0.07835228237149067,-0.26826720936598064,0.6535732070428042,-0.21403252147762802
France,0.525956585322685,-0.5274406559592849,-0.02143789042020078,-1.3505459930680142,-0.03624793877593488,0.24525730292396503,0.123145691811563,-0.7899493270168821,-0.4822433497899584,-0.1418056970343524,-0.590225365822362,-0.3831600850102887,1.04421389071228,0.3724636610207958,0.4143131532971293,1.419835816323672,-1.540895314596299,1.000830810571474,0.2506245005646789,0.1928696219291245,-1.2401400758699184,-1.4876399571327126,1.5169657467948396,-1.2409093055887057,-0.6892352087028051,-1.3301674288212866,1.0917744098875992
Canada,-0.28942536681175446,-0.5285908262413629,0.051019885087434914,-1.0634652253854422,-0.38057971806734064,0.8111408500268233,0.3085296199343071,0.49528850903281857,0.15003647346914284,-0.43350316505142994,0.13055112132728613,0.8223498406571066,0.008121025384682633,-0.45913559072127647,0.6566841519758069,-0.07823484234391526,0.3662063248612948,-0.612790563491626,-0.04837903068471196,-0.18022091000419918,0.5601560553558048,1.3117123240267246,-0.6596717704529522,0.2932123939172208,1.521447824199113,-0.2928957511936838,-0.9338382115629498
Hungary,-0.4519333045328133,0.7580638034910908,0.030728907750047958,-0.7320548009616006,0.10006849532025437,1.1252729229845533,-1.2050662977842441,-1.4394896318458679,-0.6677577421861274,2.5183007181307095,0.011704191479020007,-1.6767854819398684,-0.7004083576206718,-0.9191696771902217,0.7436379839853495,-0.820531041540163,-1.2049392079763552,-1.093975223480689,0.3862456486499936,1.240101826660459,-1.172294523806274,-1.303827225367649,0.4145900400525287,0.11977453854913486,-0.9825358453216918,-0.34757449366761173,1.8333698912649838
Slovak Republic,-1.0352502387083162,2.233756665816497,-0.6929997672235177,0.13965957433513543,-0.6241515797831382,-1.3539876637023152,-1.0606488097994287,-1.4272728101604684,-1.4595196420154328,-0.5167957147361164,-0.6165185610602695,-0.4628267956021969,-0.6530065740341804,-0.278882934481314,-1.497197798166688,-1.3409038960649176,-1.1557893806934927,-0.2939149667175754,-0.6777400092476338,-0.631035155071197,-1.2597872456470303,-1.137363457550858,1.2608591745810198,-0.8344730646515817,-1.183897565930157,1.3454976806498695,-0.6497261818979398
Netherlands,0.7369887742436277,-0.521047935741573,-0.2621862616186086,0.13965957433513543,-0.5737263087474471,0.628472941592883,1.2352074561653008,1.263440000766009,-0.8714375843407933,-0.7731765563247118,0.1663005047014882,1.6867456452169103,-0.503273874657088,0.5089387377627035,0.8574721232537856,-0.1940295613880074,-0.41137003675996797,1.5762191318308525,0.6141824432315698,-0.21201879857330622,-0.6450409161679082,0.33140690364468234,-0.4855860980131359,0.47384969935233817,0.2761278729712793,-0.4783330278402617,-0.875531542066249
Luxembourg,2.018159521378506,-0.5645570775622256,-0.329052945119155,-0.34007946496950114,0.025833213954912785,-0.8759883149203516,1.0931214173371786,1.3302143547710008,1.5955845004810343,-0.10660236871795455,0.44690288023350266,-0.5043888336001454,-0.37205541393054636,1.4112742118430668,1.449223534629957,0.6244235628800604,1.0037296434654108,0.7911550607975156,0.722747788406419,-0.9016195690248643,0.5698205689972258,-0.21228045365134657,-0.0034197350087497263,0.6039883749816262,-0.06622639453567117,-0.6860931504988613,0.6665253248236809
New Zealand,-0.49680552326310856,-0.6477439137520379,-0.6677021073084138,0.7581507664415493,3.5825345893725724,-1.4661445228862566,-1.3490907571488002,-0.22109670339739176,-0.31455019783736793,0.08699352713632276,-0.07576950804877526,0.1519077111473483,0.12485228804814465,-0.1929403401532988,1.582914650459063,0.04565134506076131,-0.8020923560891206,2.590588240916708,-0.5899332309153734,-0.3369136447957832,0.49206952967745743,-0.24221062749452668,-0.08857019112362931,0.18252394379982725,0.8924748715766907,-1.416303280193058,1.394068791342301
Korea,-1.0416898549264952,-0.6246224820690344,1.4107817756647654,0.7581507664415493,1.0043494749376318,-1.1124976005150777,-0.4241778518228358,0.17173917487420476,1.0920702879953106,-0.2676087117178605,3.4461346740506653,-1.0045458377431256,1.1195982341943962,-0.7987336603733087,0.30055876591459185,-0.6262158387330643,-0.7390078856777264,1.3238190178589198,1.4881122182895639,-0.7211194583517798,-0.5030594540655555,-0.09723686822862321,1.242601840442396,-1.4791327867252821,0.6454774179901597,-1.2953386487432814,1.6820187901291785
